time_sec,x,y,yaw
206.780,0.2106,-0.0399,0.7195
207.120,0.2518,-0.0079,0.5983
207.460,0.2968,0.0189,0.4787
207.800,0.3443,0.0400,0.3545
208.180,0.3935,0.0531,0.1214
208.620,0.4446,0.0498,-0.2526
209.060,0.4909,0.0280,-0.6266
209.500,0.5262,-0.0093,-0.9984
209.920,0.5461,-0.0560,-1.3306
210.340,0.5501,-0.1071,-1.6561
210.780,0.5366,-0.1575,-2.0163
211.220,0.5064,-0.1988,-2.3903
211.660,0.4631,-0.2262,-2.7643
212.100,0.4129,-0.2359,-3.1383
212.480,0.3626,-0.2289,2.9250
212.820,0.3135,-0.2151,2.8060
213.160,0.2665,-0.1954,2.6870
213.500,0.2221,-0.1704,2.5680
213.840,0.1810,-0.1402,2.4490
214.200,0.1428,-0.1039,2.2983
214.560,0.1122,-0.0625,2.1190
214.920,0.0892,-0.0162,1.9426
215.280,0.0749,0.0332,1.7639
215.680,0.0711,0.0838,1.4794
216.040,0.0803,0.1351,1.3320
216.380,0.0953,0.1839,1.2130
216.720,0.1159,0.2305,1.0940
217.060,0.1420,0.2743,0.9750
217.400,0.1730,0.3147,0.8560
217.740,0.2087,0.3511,0.7370
218.080,0.2484,0.3831,0.6180
218.420,0.2916,0.4101,0.4990
218.760,0.3377,0.4318,0.3800
219.100,0.3861,0.4478,0.2610
219.440,0.4360,0.4580,0.1420
220.840,0.4802,0.4835,0.5077
222.840,0.4845,0.5338,1.6805
223.160,0.4765,0.5832,1.7826
223.500,0.4625,0.6329,1.9117
223.840,0.4438,0.6802,1.9147
224.280,0.4350,0.7314,1.5510
224.640,0.4417,0.7819,1.3698
224.940,0.4532,0.8320,1.3386
225.240,0.4648,0.8831,1.3592
225.540,0.4750,0.9336,1.3726
225.880,0.4870,0.9849,1.2572
226.280,0.5099,1.0298,0.9705
226.600,0.5405,1.0694,0.8707
226.900,0.5742,1.1077,0.8309
227.200,0.6101,1.1462,0.8123
227.500,0.6460,1.1836,0.8013
229.120,0.6431,1.2345,1.5694
229.460,0.6462,1.2854,1.4504
229.800,0.6553,1.3355,1.3314
231.800,0.6631,1.3852,2.4382
232.160,0.6210,1.4156,2.6056
232.520,0.5756,1.4370,2.8014
232.860,0.5245,1.4508,2.9017
233.200,0.4746,1.4655,2.7794
233.600,0.4294,1.4893,2.4986
234.040,0.3942,1.5277,2.1371
234.400,0.3703,1.5751,1.9847
234.700,0.3499,1.6234,1.9689
235.000,0.3291,1.6712,1.9947
235.320,0.3077,1.7177,1.9503
235.720,0.2968,1.7672,1.6686
236.040,0.2944,1.8183,1.5819
236.340,0.2947,1.8702,1.5543
236.640,0.2959,1.9235,1.5444
236.940,0.2975,1.9766,1.5330
